,Country_Region,Date,ConfirmedCases
11941,Albania,2020-04-04,333.0
11614,Albania,2020-03-28,197.0
10868,Albania,2020-03-19,64.0
5484,Albania,2020-02-07,0.0
5485,Albania,2020-02-06,0.0
5486,Albania,2020-02-05,0.0
5487,Albania,2020-02-04,0.0
5488,Albania,2020-02-03,0.0
9674,Albania,2020-03-11,12.0
10513,Albania,2020-03-14,38.0
11563,Albania,2020-03-27,186.0
5489,Albania,2020-02-02,0.0
5490,Albania,2020-02-01,0.0
5498,Albania,2020-01-24,0.0
5491,Albania,2020-01-31,0.0
5448,Albania,2020-02-11,0.0
10165,Albania,2020-03-12,23.0
5492,Albania,2020-01-30,0.0
5447,Albania,2020-02-12,0.0
5497,Albania,2020-01-25,0.0
10423,Albania,2020-03-13,33.0
11836,Albania,2020-04-02,277.0
8191,Albania,2020-03-09,2.0
5496,Albania,2020-01-26,0.0
11752,Albania,2020-03-31,243.0
5482,Albania,2020-02-09,0.0
11790,Albania,2020-04-01,259.0
10581,Albania,2020-03-15,42.0
5481,Albania,2020-02-10,0.0
10927,Albania,2020-03-20,70.0
5430,Albania,2020-02-14,0.0
5493,Albania,2020-01-29,0.0
5446,Albania,2020-02-13,0.0
5495,Albania,2020-01-28,0.0
5483,Albania,2020-02-08,0.0
11092,Algeria,2020-03-20,90.0
12508,Algeria,2020-04-02,986.0
5600,Algeria,2020-02-09,0.0
12108,Algeria,2020-03-28,454.0
5599,Algeria,2020-02-10,0.0
8672,Algeria,2020-03-02,3.0
5601,Algeria,2020-02-08,0.0
7759,Algeria,2020-02-27,1.0
11880,Algeria,2020-03-25,302.0
11070,Algeria,2020-03-19,87.0
5589,Algeria,2020-02-20,0.0
9661,Algeria,2020-03-04,12.0
5598,Algeria,2020-02-11,0.0
5588,Algeria,2020-02-21,0.0
5587,Algeria,2020-02-22,0.0
5586,Algeria,2020-02-23,0.0
5585,Algeria,2020-02-24,0.0
12582,Algeria,2020-04-03,1171.0
7751,Algeria,2020-02-28,1.0
8898,Algeria,2020-03-03,5.0
11718,Algeria,2020-03-23,230.0
9653,Algeria,2020-03-05,12.0
12611,Algeria,2020-04-04,1251.0
12375,Algeria,2020-03-31,716.0
7752,Algeria,2020-02-29,1.0
5602,Algeria,2020-02-07,0.0
9966,Algeria,2020-03-07,17.0
9963,Algeria,2020-03-06,17.0
7753,Algeria,2020-03-01,1.0
11627,Algeria,2020-03-22,201.0
5591,Algeria,2020-02-19,0.0
5603,Algeria,2020-02-06,0.0
5595,Algeria,2020-02-14,0.0
7771,Algeria,2020-02-25,1.0
5417,Algeria,2020-01-31,0.0
5418,Algeria,2020-01-30,0.0
5419,Algeria,2020-01-29,0.0
5420,Algeria,2020-01-28,0.0
5421,Algeria,2020-01-27,0.0
10658,Algeria,2020-03-15,48.0
5422,Algeria,2020-01-26,0.0
5423,Algeria,2020-01-25,0.0
5510,Algeria,2020-02-02,0.0
5424,Algeria,2020-01-24,0.0
5426,Algeria,2020-01-22,0.0
5593,Algeria,2020-02-16,0.0
10188,Algeria,2020-03-12,24.0
10487,Algeria,2020-03-14,37.0
10241,Algeria,2020-03-13,26.0
12444,Algeria,2020-04-01,847.0
5478,Algeria,2020-02-01,0.0
11806,Algeria,2020-03-24,264.0
5425,Algeria,2020-01-23,0.0
7770,Algeria,2020-02-26,1.0
5511,Algeria,2020-02-03,0.0
5596,Algeria,2020-02-13,0.0
5604,Algeria,2020-02-05,0.0
12239,Algeria,2020-03-30,584.0
10050,Algeria,2020-03-08,19.0
5605,Algeria,2020-02-18,0.0
5592,Algeria,2020-02-17,0.0
12182,Algeria,2020-03-29,511.0
5512,Algeria,2020-02-04,0.0
12052,Algeria,2020-03-27,409.0
11388,Algeria,2020-03-21,139.0
5594,Algeria,2020-02-15,0.0
10769,Algeria,2020-03-16,54.0
11988,Algeria,2020-03-26,367.0
10068,Algeria,2020-03-09,20.0
10069,Algeria,2020-03-10,20.0
10070,Algeria,2020-03-11,20.0
5597,Algeria,2020-02-12,0.0
10839,Algeria,2020-03-17,60.0
10954,Algeria,2020-03-18,74.0
5534,Andorra,2020-02-16,0.0
5637,Andorra,2020-01-22,0.0
11701,Andorra,2020-03-26,224.0
5533,Andorra,2020-02-17,0.0
11818,Andorra,2020-03-27,267.0
5623,Andorra,2020-01-23,0.0
12086,Andorra,2020-04-03,439.0
5617,Andorra,2020-01-28,0.0
5616,Andorra,2020-01-29,0.0
12075,Andorra,2020-04-02,428.0
5615,Andorra,2020-01-30,0.0
8305,Andorra,2020-03-16,2.0
11358,Andorra,2020-03-23,133.0
5614,Andorra,2020-01-31,0.0
5613,Andorra,2020-02-01,0.0
5612,Andorra,2020-02-02,0.0
5611,Andorra,2020-02-03,0.0
5535,Andorra,2020-02-15,0.0
5619,Andorra,2020-01-26,0.0
5606,Andorra,2020-02-07,0.0
5539,Andorra,2020-02-11,0.0
5538,Andorra,2020-02-12,0.0
5537,Andorra,2020-02-13,0.0
12023,Andorra,2020-04-01,390.0
5620,Andorra,2020-01-25,0.0
11073,Andorra,2020-03-21,88.0
12002,Andorra,2020-03-31,376.0
5536,Andorra,2020-02-14,0.0
5621,Andorra,2020-01-24,0.0
11998,Andorra,2020-03-30,370.0
5609,Andorra,2020-02-05,0.0
5610,Andorra,2020-02-04,0.0
7659,Andorra,2020-03-02,1.0
5532,Andorra,2020-02-18,0.0
7654,Andorra,2020-03-06,1.0
7653,Andorra,2020-03-05,1.0
11945,Andorra,2020-03-29,334.0
11256,Andorra,2020-03-22,113.0
7651,Andorra,2020-03-03,1.0
11572,Andorra,2020-03-25,188.0
7649,Andorra,2020-03-12,1.0
7640,Andorra,2020-03-11,1.0
7639,Andorra,2020-03-13,1.0
5527,Andorra,2020-02-24,0.0
7627,Andorra,2020-03-14,1.0
7619,Andorra,2020-03-15,1.0
5525,Andorra,2020-02-25,0.0
5524,Andorra,2020-02-26,0.0
5523,Andorra,2020-02-27,0.0
5522,Andorra,2020-02-28,0.0
10755,Andorra,2020-03-19,53.0
5521,Andorra,2020-02-29,0.0
5520,Andorra,2020-03-01,0.0
10534,Andorra,2020-03-17,39.0
10526,Andorra,2020-03-18,39.0
7655,Andorra,2020-03-07,1.0
7656,Andorra,2020-03-08,1.0
7652,Andorra,2020-03-04,1.0
7658,Andorra,2020-03-10,1.0
5531,Andorra,2020-02-19,0.0
11498,Andorra,2020-03-24,164.0
10962,Andorra,2020-03-20,75.0
5530,Andorra,2020-02-20,0.0
5529,Andorra,2020-02-21,0.0
5528,Andorra,2020-02-22,0.0
11894,Andorra,2020-03-28,308.0
5576,Andorra,2020-02-06,0.0
12126,Andorra,2020-04-04,466.0
5542,Andorra,2020-02-09,0.0
7657,Andorra,2020-03-09,1.0
5541,Andorra,2020-02-23,0.0
5618,Andorra,2020-01-27,0.0
5575,Andorra,2020-02-08,0.0
5540,Andorra,2020-02-10,0.0
5214,Angola,2020-02-22,0.0
9252,Angola,2020-03-30,7.0
5225,Angola,2020-03-17,0.0
5222,Angola,2020-02-28,0.0
5215,Angola,2020-02-21,0.0
5221,Angola,2020-02-15,0.0
5194,Angola,2020-03-13,0.0
5220,Angola,2020-02-16,0.0
5219,Angola,2020-02-17,0.0
9340,Angola,2020-04-03,8.0
5218,Angola,2020-02-18,0.0
5217,Angola,2020-02-19,0.0
5224,Angola,2020-03-15,0.0
5216,Angola,2020-02-20,0.0
9312,Angola,2020-04-02,8.0
9311,Angola,2020-04-01,8.0
5203,Angola,2020-03-04,0.0
9535,Angola,2020-04-04,10.0
5196,Angola,2020-03-11,0.0
5197,Angola,2020-03-10,0.0
5553,Angola,2020-02-02,0.0
5198,Angola,2020-03-09,0.0
5554,Angola,2020-02-01,0.0
5555,Angola,2020-01-31,0.0
5556,Angola,2020-01-30,0.0
5557,Angola,2020-01-29,0.0
5559,Angola,2020-01-28,0.0
5560,Angola,2020-01-26,0.0
5561,Angola,2020-01-25,0.0
5199,Angola,2020-03-08,0.0
5562,Angola,2020-01-24,0.0
5563,Angola,2020-01-23,0.0
5564,Angola,2020-01-22,0.0
5200,Angola,2020-03-07,0.0
5573,Angola,2020-01-27,0.0
5212,Angola,2020-02-24,0.0
5211,Angola,2020-02-25,0.0
5210,Angola,2020-02-26,0.0
5209,Angola,2020-02-27,0.0
5208,Angola,2020-02-29,0.0
5207,Angola,2020-03-14,0.0
5213,Angola,2020-02-23,0.0
5206,Angola,2020-03-01,0.0
5195,Angola,2020-03-12,0.0
5204,Angola,2020-03-03,0.0
9239,Angola,2020-03-31,7.0
5202,Angola,2020-03-05,0.0
5201,Angola,2020-03-06,0.0
5574,Angola,2020-02-12,0.0
5205,Angola,2020-03-02,0.0
9237,Angola,2020-03-29,7.0
5319,Angola,2020-02-14,0.0
5550,Angola,2020-02-05,0.0
5253,Angola,2020-03-18,0.0
5252,Angola,2020-03-19,0.0
8271,Angola,2020-03-21,2.0
8272,Angola,2020-03-22,2.0
8471,Angola,2020-03-23,3.0
8472,Angola,2020-03-24,3.0
8473,Angola,2020-03-25,3.0
5549,Angola,2020-02-06,0.0
5552,Angola,2020-02-03,0.0
5239,Angola,2020-03-16,0.0
8801,Angola,2020-03-27,4.0
8802,Angola,2020-03-26,4.0
5547,Angola,2020-02-08,0.0
5546,Angola,2020-02-09,0.0
7694,Angola,2020-03-20,1.0
5548,Angola,2020-02-07,0.0
5545,Angola,2020-02-10,0.0
8910,Angola,2020-03-28,5.0
5551,Angola,2020-02-04,0.0
5385,Angola,2020-02-11,0.0
5384,Angola,2020-02-13,0.0
5136,Antigua and Barbuda,2020-03-12,0.0
5137,Antigua and Barbuda,2020-03-11,0.0
5148,Antigua and Barbuda,2020-02-29,0.0
7672,Antigua and Barbuda,2020-03-16,1.0
7670,Antigua and Barbuda,2020-03-15,1.0
7669,Antigua and Barbuda,2020-03-14,1.0
7681,Antigua and Barbuda,2020-03-17,1.0
5149,Antigua and Barbuda,2020-02-28,0.0
5147,Antigua and Barbuda,2020-03-01,0.0
5146,Antigua and Barbuda,2020-03-02,0.0
5145,Antigua and Barbuda,2020-03-03,0.0
9854,Antigua and Barbuda,2020-04-03,15.0
7668,Antigua and Barbuda,2020-03-13,1.0
5175,Antigua and Barbuda,2020-02-19,0.0
7673,Antigua and Barbuda,2020-03-18,1.0
7674,Antigua and Barbuda,2020-03-19,1.0
9836,Antigua and Barbuda,2020-04-04,15.0
5157,Antigua and Barbuda,2020-02-20,0.0
5156,Antigua and Barbuda,2020-02-21,0.0
5155,Antigua and Barbuda,2020-02-22,0.0
7677,Antigua and Barbuda,2020-03-22,1.0
7676,Antigua and Barbuda,2020-03-21,1.0
9200,Antigua and Barbuda,2020-03-26,7.0
5144,Antigua and Barbuda,2020-03-04,0.0
5154,Antigua and Barbuda,2020-02-23,0.0
5153,Antigua and Barbuda,2020-02-24,0.0
5152,Antigua and Barbuda,2020-02-25,0.0
5151,Antigua and Barbuda,2020-02-26,0.0
5150,Antigua and Barbuda,2020-02-27,0.0
5191,Antigua and Barbuda,2020-02-18,0.0
7675,Antigua and Barbuda,2020-03-20,1.0
5192,Antigua and Barbuda,2020-02-17,0.0
9201,Antigua and Barbuda,2020-03-28,7.0
5254,Antigua and Barbuda,2020-02-01,0.0
5235,Antigua and Barbuda,2020-02-06,0.0
5234,Antigua and Barbuda,2020-02-07,0.0
5233,Antigua and Barbuda,2020-02-08,0.0
5232,Antigua and Barbuda,2020-02-09,0.0
5139,Antigua and Barbuda,2020-03-09,0.0
5231,Antigua and Barbuda,2020-02-10,0.0
5230,Antigua and Barbuda,2020-02-11,0.0
5229,Antigua and Barbuda,2020-02-12,0.0
5228,Antigua and Barbuda,2020-02-13,0.0
5140,Antigua and Barbuda,2020-03-08,0.0
9179,Antigua and Barbuda,2020-04-01,7.0
5226,Antigua and Barbuda,2020-02-15,0.0
5227,Antigua and Barbuda,2020-02-14,0.0
9190,Antigua and Barbuda,2020-03-31,7.0
9199,Antigua and Barbuda,2020-03-30,7.0
9208,Antigua and Barbuda,2020-03-27,7.0
9205,Antigua and Barbuda,2020-03-29,7.0
5236,Antigua and Barbuda,2020-02-05,0.0
5237,Antigua and Barbuda,2020-02-04,0.0
5243,Antigua and Barbuda,2020-01-29,0.0
9460,Antigua and Barbuda,2020-04-02,9.0
5193,Antigua and Barbuda,2020-02-16,0.0
5250,Antigua and Barbuda,2020-01-22,0.0
5249,Antigua and Barbuda,2020-01-23,0.0
5143,Antigua and Barbuda,2020-03-05,0.0
8510,Antigua and Barbuda,2020-03-25,3.0
8529,Antigua and Barbuda,2020-03-24,3.0
8541,Antigua and Barbuda,2020-03-23,3.0
5248,Antigua and Barbuda,2020-01-24,0.0
5247,Antigua and Barbuda,2020-01-25,0.0
5142,Antigua and Barbuda,2020-03-06,0.0
5246,Antigua and Barbuda,2020-01-26,0.0
5138,Antigua and Barbuda,2020-03-10,0.0
5244,Antigua and Barbuda,2020-01-28,0.0
5141,Antigua and Barbuda,2020-03-07,0.0
5242,Antigua and Barbuda,2020-01-30,0.0
5245,Antigua and Barbuda,2020-01-27,0.0
5238,Antigua and Barbuda,2020-02-03,0.0
5240,Antigua and Barbuda,2020-02-02,0.0
5241,Antigua and Barbuda,2020-01-31,0.0
5190,Argentina,2020-02-10,0.0
5173,Argentina,2020-02-13,0.0
5174,Argentina,2020-02-12,0.0
5132,Argentina,2020-01-22,0.0
5176,Argentina,2020-02-11,0.0
5177,Argentina,2020-02-09,0.0
11474,Argentina,2020-03-21,158.0
5186,Argentina,2020-01-31,0.0
5159,Argentina,2020-01-25,0.0
5158,Argentina,2020-01-24,0.0
5180,Argentina,2020-02-06,0.0
5181,Argentina,2020-02-05,0.0
5182,Argentina,2020-02-04,0.0
5183,Argentina,2020-02-03,0.0
5179,Argentina,2020-02-07,0.0
5178,Argentina,2020-02-08,0.0
5160,Argentina,2020-01-26,0.0
5161,Argentina,2020-01-27,0.0
5162,Argentina,2020-02-24,0.0
11811,Argentina,2020-03-22,266.0
5187,Argentina,2020-01-30,0.0
5163,Argentina,2020-02-23,0.0
5164,Argentina,2020-02-22,0.0
5165,Argentina,2020-02-21,0.0
5166,Argentina,2020-02-20,0.0
5172,Argentina,2020-02-14,0.0
5171,Argentina,2020-02-15,0.0
5170,Argentina,2020-02-16,0.0
5169,Argentina,2020-02-17,0.0
5168,Argentina,2020-02-18,0.0
5167,Argentina,2020-02-19,0.0
5189,Argentina,2020-01-28,0.0
5188,Argentina,2020-01-29,0.0
10368,Argentina,2020-03-13,31.0
11877,Argentina,2020-03-23,301.0
12388,Argentina,2020-03-29,745.0
5348,Argentina,2020-03-01,0.0
5349,Argentina,2020-02-29,0.0
12432,Argentina,2020-03-30,820.0
10995,Argentina,2020-03-18,79.0
5131,Argentina,2020-01-23,0.0
7832,Argentina,2020-03-05,1.0
7831,Argentina,2020-03-04,1.0
7830,Argentina,2020-03-03,1.0
5347,Argentina,2020-03-02,0.0
12536,Argentina,2020-03-31,1054.0
10043,Argentina,2020-03-11,19.0
12568,Argentina,2020-04-02,1133.0
10907,Argentina,2020-03-17,68.0
12615,Argentina,2020-04-03,1265.0
12665,Argentina,2020-04-04,1451.0
10044,Argentina,2020-03-12,19.0
10795,Argentina,2020-03-16,56.0
10632,Argentina,2020-03-15,45.0
10437,Argentina,2020-03-14,34.0
12537,Argentina,2020-04-01,1054.0
9950,Argentina,2020-03-10,17.0
5184,Argentina,2020-02-02,0.0
5256,Argentina,2020-02-27,0.0
5223,Argentina,2020-02-25,0.0
12245,Argentina,2020-03-27,589.0
5185,Argentina,2020-02-01,0.0
12315,Argentina,2020-03-28,690.0
8245,Argentina,2020-03-06,2.0
11333,Argentina,2020-03-20,128.0
11148,Argentina,2020-03-19,97.0
5255,Argentina,2020-02-26,0.0
12169,Argentina,2020-03-26,502.0
12020,Argentina,2020-03-25,387.0
9299,Argentina,2020-03-07,8.0
9628,Argentina,2020-03-08,12.0
12019,Argentina,2020-03-24,387.0
9634,Argentina,2020-03-09,12.0
5257,Argentina,2020-02-28,0.0
11381,Armenia,2020-03-20,136.0
5368,Armenia,2020-02-06,0.0
10255,Armenia,2020-03-15,26.0
5369,Armenia,2020-02-04,0.0
5370,Armenia,2020-02-03,0.0
5371,Armenia,2020-02-02,0.0
5372,Armenia,2020-02-01,0.0
10741,Armenia,2020-03-16,52.0
5378,Armenia,2020-01-26,0.0
5373,Armenia,2020-01-31,0.0
5374,Armenia,2020-01-30,0.0
5381,Armenia,2020-01-23,0.0
5380,Armenia,2020-01-24,0.0
5379,Armenia,2020-01-25,0.0
5375,Armenia,2020-01-29,0.0
5376,Armenia,2020-01-28,0.0
5377,Armenia,2020-01-27,0.0
5382,Armenia,2020-02-05,0.0
5284,Armenia,2020-02-25,0.0
11269,Armenia,2020-03-19,115.0
5365,Armenia,2020-02-08,0.0
5285,Armenia,2020-02-24,0.0
5287,Armenia,2020-02-23,0.0
5283,Armenia,2020-02-26,0.0
5320,Armenia,2020-02-22,0.0
9972,Armenia,2020-03-14,18.0
5321,Armenia,2020-02-20,0.0
5282,Armenia,2020-02-27,0.0
11037,Armenia,2020-03-18,84.0
5281,Armenia,2020-02-28,0.0
5280,Armenia,2020-02-29,0.0
5351,Armenia,2020-02-21,0.0
5366,Armenia,2020-02-07,0.0
5353,Armenia,2020-01-22,0.0
5355,Armenia,2020-02-18,0.0
5356,Armenia,2020-02-17,0.0
10988,Armenia,2020-03-17,78.0
5358,Armenia,2020-02-15,0.0
5359,Armenia,2020-02-14,0.0
5360,Armenia,2020-02-13,0.0
5361,Armenia,2020-02-12,0.0
5362,Armenia,2020-02-11,0.0
5363,Armenia,2020-02-10,0.0
11481,Armenia,2020-03-21,160.0
5364,Armenia,2020-02-09,0.0
5354,Armenia,2020-02-19,0.0
5357,Armenia,2020-02-16,0.0
11808,Armenia,2020-03-25,265.0
7875,Armenia,2020-03-05,1.0
12050,Armenia,2020-03-28,407.0
12069,Armenia,2020-03-29,424.0
12144,Armenia,2020-03-30,482.0
9352,Armenia,2020-03-13,8.0
12196,Armenia,2020-03-31,532.0
12229,Armenia,2020-04-01,571.0
7877,Armenia,2020-03-07,1.0
8770,Armenia,2020-03-12,4.0
12296,Armenia,2020-04-02,663.0
7861,Armenia,2020-03-11,1.0
7871,Armenia,2020-03-01,1.0
12384,Armenia,2020-04-03,736.0
7872,Armenia,2020-03-02,1.0
12395,Armenia,2020-04-04,770.0
7873,Armenia,2020-03-03,1.0
7874,Armenia,2020-03-04,1.0
7880,Armenia,2020-03-10,1.0
7879,Armenia,2020-03-09,1.0
7878,Armenia,2020-03-08,1.0
11930,Armenia,2020-03-27,329.0
11860,Armenia,2020-03-26,290.0
7876,Armenia,2020-03-06,1.0
11770,Armenia,2020-03-24,249.0
11732,Armenia,2020-03-23,235.0
11594,Armenia,2020-03-22,194.0
12856,Australia,2020-03-26,2810.0
9828,Australia,2020-02-27,15.0
9847,Australia,2020-02-21,15.0
9846,Australia,2020-02-10,15.0
9845,Australia,2020-02-11,15.0
8998,Australia,2020-01-27,5.0
8999,Australia,2020-01-28,5.0
9103,Australia,2020-01-29,6.0
10770,Australia,2020-03-05,55.0
9780,Australia,2020-02-06,14.0
12225,Australia,2020-03-18,568.0
9844,Australia,2020-02-18,15.0
10975,Australia,2020-03-08,76.0
12884,Australia,2020-03-27,3143.0
8822,Australia,2020-01-26,4.0
9848,Australia,2020-02-09,15.0
10234,Australia,2020-02-29,25.0
11211,Australia,2020-03-10,107.0
12694,Australia,2020-03-22,1549.0
5259,Australia,2020-01-22,0.0
12720,Australia,2020-03-23,1682.0
5258,Australia,2020-01-23,0.0
9856,Australia,2020-02-08,15.0
9852,Australia,2020-02-20,15.0
10863,Australia,2020-03-07,63.0
9851,Australia,2020-02-19,15.0
11094,Australia,2020-03-09,91.0
12772,Australia,2020-03-24,2044.0
10840,Australia,2020-03-06,60.0
5288,Australia,2020-01-25,0.0
12308,Australia,2020-03-19,681.0
12814,Australia,2020-03-25,2364.0
10268,Australia,2020-03-01,27.0
9850,Australia,2020-02-07,15.0
12546,Australia,2020-03-21,1071.0
9843,Australia,2020-02-12,15.0
10733,Australia,2020-03-04,52.0
5271,Australia,2020-01-24,0.0
12914,Australia,2020-03-28,3640.0
12005,Australia,2020-03-16,377.0
11623,Australia,2020-03-13,200.0
12982,Australia,2020-04-04,5550.0
9815,Australia,2020-02-16,15.0
12413,Australia,2020-03-20,791.0
9838,Australia,2020-02-15,15.0
9644,Australia,2020-02-03,12.0
9645,Australia,2020-02-02,12.0
9646,Australia,2020-02-01,12.0
9829,Australia,2020-02-26,15.0
9705,Australia,2020-02-04,13.0
9819,Australia,2020-02-25,15.0
9714,Australia,2020-02-05,13.0
10520,Australia,2020-03-03,39.0
11867,Australia,2020-03-15,297.0
9835,Australia,2020-02-22,15.0
9818,Australia,2020-02-24,15.0
9824,Australia,2020-02-23,15.0
10335,Australia,2020-03-02,30.0
12977,Australia,2020-04-03,5330.0
9426,Australia,2020-01-30,9.0
11332,Australia,2020-03-12,128.0
12928,Australia,2020-03-29,3984.0
9827,Australia,2020-02-28,15.0
12946,Australia,2020-03-30,4361.0
12953,Australia,2020-03-31,4559.0
11771,Australia,2020-03-14,250.0
9841,Australia,2020-02-14,15.0
11331,Australia,2020-03-11,128.0
12965,Australia,2020-04-01,4862.0
9840,Australia,2020-02-17,15.0
12970,Australia,2020-04-02,5116.0
9425,Australia,2020-01-31,9.0
9842,Australia,2020-02-13,15.0
12104,Australia,2020-03-17,452.0
5990,Austria,2020-02-05,0.0
5989,Austria,2020-02-03,0.0
13100,Austria,2020-04-04,11781.0
12635,Austria,2020-03-17,1332.0
5972,Austria,2020-02-02,0.0
5969,Austria,2020-01-22,0.0
12449,Austria,2020-03-15,860.0
5966,Austria,2020-01-25,0.0
5968,Austria,2020-01-23,0.0
5967,Austria,2020-01-24,0.0
5960,Austria,2020-01-31,0.0
5965,Austria,2020-01-26,0.0
5964,Austria,2020-01-27,0.0
13095,Austria,2020-04-02,11129.0
5963,Austria,2020-01-28,0.0
10319,Austria,2020-03-04,29.0
5962,Austria,2020-01-29,0.0
5961,Austria,2020-01-30,0.0
5959,Austria,2020-02-01,0.0
12518,Austria,2020-03-16,1018.0
6000,Austria,2020-02-24,0.0
13051,Austria,2020-03-29,8788.0
6013,Austria,2020-02-11,0.0
12714,Austria,2020-03-18,1646.0
6017,Austria,2020-02-07,0.0
6019,Austria,2020-02-19,0.0
13086,Austria,2020-03-31,10180.0
12857,Austria,2020-03-21,2814.0
12909,Austria,2020-03-22,3582.0
10106,Austria,2020-03-03,21.0
10777,Austria,2020-03-06,55.0
12950,Austria,2020-03-23,4474.0
12975,Austria,2020-03-24,5283.0
10555,Austria,2020-03-05,41.0
12986,Austria,2020-03-25,5588.0
13013,Austria,2020-03-26,6909.0
13028,Austria,2020-03-27,7657.0
13044,Austria,2020-03-28,8271.0
13071,Austria,2020-03-30,9618.0
6001,Austria,2020-02-23,0.0
6016,Austria,2020-02-08,0.0
6015,Austria,2020-02-09,0.0
6002,Austria,2020-02-22,0.0
6003,Austria,2020-02-21,0.0
6004,Austria,2020-02-04,0.0
6005,Austria,2020-02-20,0.0
6006,Austria,2020-02-18,0.0
6007,Austria,2020-02-17,0.0
13089,Austria,2020-04-01,10711.0
