,i,Country_Region,Date,ConfirmedCases,Population Density (per sq. km),HDI,Testing By Date,Total Testing
105,5405,Albania,2020-02-22,0,104.6122628,0.785,,
106,5404,Albania,2020-02-23,0,104.6122628,0.785,,
107,5403,Albania,2020-02-24,0,104.6122628,0.785,,
108,5402,Albania,2020-02-25,0,104.6122628,0.785,,
109,5401,Albania,2020-02-26,0,104.6122628,0.785,,
110,5400,Albania,2020-02-27,0,104.6122628,0.785,,
111,5399,Albania,2020-02-28,0,104.6122628,0.785,,
112,5398,Albania,2020-02-29,0,104.6122628,0.785,,
113,5397,Albania,2020-03-01,0,104.6122628,0.785,,
114,5396,Albania,2020-03-02,0,104.6122628,0.785,,
115,5395,Albania,2020-03-03,0,104.6122628,0.785,,
116,5394,Albania,2020-03-04,0,104.6122628,0.785,,
117,5393,Albania,2020-03-05,0,104.6122628,0.785,,
118,5392,Albania,2020-03-06,0,104.6122628,0.785,,
119,5391,Albania,2020-03-07,0,104.6122628,0.785,,
120,5390,Albania,2020-03-08,0,104.6122628,0.785,,
121,8191,Albania,2020-03-09,2,104.6122628,0.785,,
122,9516,Albania,2020-03-10,10,104.6122628,0.785,,
123,9674,Albania,2020-03-11,12,104.6122628,0.785,,
124,10165,Albania,2020-03-12,23,104.6122628,0.785,,
125,10423,Albania,2020-03-13,33,104.6122628,0.785,,
126,10513,Albania,2020-03-14,38,104.6122628,0.785,,
127,10581,Albania,2020-03-15,42,104.6122628,0.785,,
128,10727,Albania,2020-03-16,51,104.6122628,0.785,,
129,10774,Albania,2020-03-17,55,104.6122628,0.785,,
130,10822,Albania,2020-03-18,59,104.6122628,0.785,,
131,10868,Albania,2020-03-19,64,104.6122628,0.785,,
132,10927,Albania,2020-03-20,70,104.6122628,0.785,,
133,10974,Albania,2020-03-21,76,104.6122628,0.785,,
134,11080,Albania,2020-03-22,89,104.6122628,0.785,,
135,11194,Albania,2020-03-23,104,104.6122628,0.785,,
136,11313,Albania,2020-03-24,123,104.6122628,0.785,,
137,11424,Albania,2020-03-25,146,104.6122628,0.785,,
138,11530,Albania,2020-03-26,174,104.6122628,0.785,,
139,11563,Albania,2020-03-27,186,104.6122628,0.785,,
140,11614,Albania,2020-03-28,197,104.6122628,0.785,,
141,11661,Albania,2020-03-29,212,104.6122628,0.785,,
142,11696,Albania,2020-03-30,223,104.6122628,0.785,,
143,11752,Albania,2020-03-31,243,104.6122628,0.785,,
144,11790,Albania,2020-04-01,259,104.6122628,0.785,,
145,11836,Albania,2020-04-02,277,104.6122628,0.785,,
146,11884,Albania,2020-04-03,304,104.6122628,0.785,,
147,11941,Albania,2020-04-04,333,104.6122628,0.785,,
148,5426,Algeria,2020-01-22,0,17.73007507,0.754,,
149,5425,Algeria,2020-01-23,0,17.73007507,0.754,,
150,5424,Algeria,2020-01-24,0,17.73007507,0.754,,
151,5423,Algeria,2020-01-25,0,17.73007507,0.754,,
152,5422,Algeria,2020-01-26,0,17.73007507,0.754,,
153,5421,Algeria,2020-01-27,0,17.73007507,0.754,,
154,5420,Algeria,2020-01-28,0,17.73007507,0.754,,
155,5419,Algeria,2020-01-29,0,17.73007507,0.754,,
156,5418,Algeria,2020-01-30,0,17.73007507,0.754,,
157,5417,Algeria,2020-01-31,0,17.73007507,0.754,,
158,5478,Algeria,2020-02-01,0,17.73007507,0.754,,
159,5510,Algeria,2020-02-02,0,17.73007507,0.754,,
160,5511,Algeria,2020-02-03,0,17.73007507,0.754,,
161,5512,Algeria,2020-02-04,0,17.73007507,0.754,,
162,5604,Algeria,2020-02-05,0,17.73007507,0.754,,
163,5603,Algeria,2020-02-06,0,17.73007507,0.754,,
164,5602,Algeria,2020-02-07,0,17.73007507,0.754,,
165,5601,Algeria,2020-02-08,0,17.73007507,0.754,,
166,5600,Algeria,2020-02-09,0,17.73007507,0.754,,
167,5599,Algeria,2020-02-10,0,17.73007507,0.754,,
168,5598,Algeria,2020-02-11,0,17.73007507,0.754,,
169,5597,Algeria,2020-02-12,0,17.73007507,0.754,,
170,5596,Algeria,2020-02-13,0,17.73007507,0.754,,
171,5595,Algeria,2020-02-14,0,17.73007507,0.754,,
172,5594,Algeria,2020-02-15,0,17.73007507,0.754,,
173,5593,Algeria,2020-02-16,0,17.73007507,0.754,,
174,5592,Algeria,2020-02-17,0,17.73007507,0.754,,
175,5605,Algeria,2020-02-18,0,17.73007507,0.754,,
176,5591,Algeria,2020-02-19,0,17.73007507,0.754,,
177,5589,Algeria,2020-02-20,0,17.73007507,0.754,,
178,5588,Algeria,2020-02-21,0,17.73007507,0.754,,
179,5587,Algeria,2020-02-22,0,17.73007507,0.754,,
180,5586,Algeria,2020-02-23,0,17.73007507,0.754,,
181,5585,Algeria,2020-02-24,0,17.73007507,0.754,,
182,7771,Algeria,2020-02-25,1,17.73007507,0.754,,
183,7770,Algeria,2020-02-26,1,17.73007507,0.754,,
184,7759,Algeria,2020-02-27,1,17.73007507,0.754,,
185,7751,Algeria,2020-02-28,1,17.73007507,0.754,,
186,7752,Algeria,2020-02-29,1,17.73007507,0.754,,
187,7753,Algeria,2020-03-01,1,17.73007507,0.754,,
188,8672,Algeria,2020-03-02,3,17.73007507,0.754,,
189,8898,Algeria,2020-03-03,5,17.73007507,0.754,,
190,9661,Algeria,2020-03-04,12,17.73007507,0.754,,
191,9653,Algeria,2020-03-05,12,17.73007507,0.754,,
192,9963,Algeria,2020-03-06,17,17.73007507,0.754,,
193,9966,Algeria,2020-03-07,17,17.73007507,0.754,,
194,10050,Algeria,2020-03-08,19,17.73007507,0.754,,
195,10068,Algeria,2020-03-09,20,17.73007507,0.754,,
196,10069,Algeria,2020-03-10,20,17.73007507,0.754,,
197,10070,Algeria,2020-03-11,20,17.73007507,0.754,,
198,10188,Algeria,2020-03-12,24,17.73007507,0.754,,
199,10241,Algeria,2020-03-13,26,17.73007507,0.754,,
200,10487,Algeria,2020-03-14,37,17.73007507,0.754,,
201,10658,Algeria,2020-03-15,48,17.73007507,0.754,,
202,10769,Algeria,2020-03-16,54,17.73007507,0.754,,
203,10839,Algeria,2020-03-17,60,17.73007507,0.754,,
204,10954,Algeria,2020-03-18,74,17.73007507,0.754,,
205,11070,Algeria,2020-03-19,87,17.73007507,0.754,,
206,11092,Algeria,2020-03-20,90,17.73007507,0.754,,
207,11388,Algeria,2020-03-21,139,17.73007507,0.754,,
208,11627,Algeria,2020-03-22,201,17.73007507,0.754,,
209,11718,Algeria,2020-03-23,230,17.73007507,0.754,,
210,11806,Algeria,2020-03-24,264,17.73007507,0.754,,
211,11880,Algeria,2020-03-25,302,17.73007507,0.754,,
212,11988,Algeria,2020-03-26,367,17.73007507,0.754,,
213,12052,Algeria,2020-03-27,409,17.73007507,0.754,,
214,12108,Algeria,2020-03-28,454,17.73007507,0.754,,
215,12182,Algeria,2020-03-29,511,17.73007507,0.754,,
216,12239,Algeria,2020-03-30,584,17.73007507,0.754,,
217,12375,Algeria,2020-03-31,716,17.73007507,0.754,,
218,12444,Algeria,2020-04-01,847,17.73007507,0.754,,
219,12508,Algeria,2020-04-02,986,17.73007507,0.754,,
220,12582,Algeria,2020-04-03,1171,17.73007507,0.754,,
221,12611,Algeria,2020-04-04,1251,17.73007507,0.754,,
222,5637,Andorra,2020-01-22,0,163.8425532,0.858,,
223,5623,Andorra,2020-01-23,0,163.8425532,0.858,,
224,5621,Andorra,2020-01-24,0,163.8425532,0.858,,
225,5620,Andorra,2020-01-25,0,163.8425532,0.858,,
226,5619,Andorra,2020-01-26,0,163.8425532,0.858,,
227,5618,Andorra,2020-01-27,0,163.8425532,0.858,,
228,5617,Andorra,2020-01-28,0,163.8425532,0.858,,
229,5616,Andorra,2020-01-29,0,163.8425532,0.858,,
230,5615,Andorra,2020-01-30,0,163.8425532,0.858,,
231,5614,Andorra,2020-01-31,0,163.8425532,0.858,,
232,5613,Andorra,2020-02-01,0,163.8425532,0.858,,
233,5612,Andorra,2020-02-02,0,163.8425532,0.858,,
234,5611,Andorra,2020-02-03,0,163.8425532,0.858,,
235,5610,Andorra,2020-02-04,0,163.8425532,0.858,,
236,5609,Andorra,2020-02-05,0,163.8425532,0.858,,
237,5576,Andorra,2020-02-06,0,163.8425532,0.858,,
238,5606,Andorra,2020-02-07,0,163.8425532,0.858,,
239,5575,Andorra,2020-02-08,0,163.8425532,0.858,,
240,5542,Andorra,2020-02-09,0,163.8425532,0.858,,
241,5540,Andorra,2020-02-10,0,163.8425532,0.858,,
242,5539,Andorra,2020-02-11,0,163.8425532,0.858,,
243,5538,Andorra,2020-02-12,0,163.8425532,0.858,,
244,5537,Andorra,2020-02-13,0,163.8425532,0.858,,
245,5536,Andorra,2020-02-14,0,163.8425532,0.858,,
246,5535,Andorra,2020-02-15,0,163.8425532,0.858,,
247,5534,Andorra,2020-02-16,0,163.8425532,0.858,,
248,5533,Andorra,2020-02-17,0,163.8425532,0.858,,
249,5532,Andorra,2020-02-18,0,163.8425532,0.858,,
250,5531,Andorra,2020-02-19,0,163.8425532,0.858,,
251,5530,Andorra,2020-02-20,0,163.8425532,0.858,,
252,5529,Andorra,2020-02-21,0,163.8425532,0.858,,
253,5528,Andorra,2020-02-22,0,163.8425532,0.858,,
254,5541,Andorra,2020-02-23,0,163.8425532,0.858,,
255,5527,Andorra,2020-02-24,0,163.8425532,0.858,,
256,5525,Andorra,2020-02-25,0,163.8425532,0.858,,
257,5524,Andorra,2020-02-26,0,163.8425532,0.858,,
258,5523,Andorra,2020-02-27,0,163.8425532,0.858,,
259,5522,Andorra,2020-02-28,0,163.8425532,0.858,,
260,5521,Andorra,2020-02-29,0,163.8425532,0.858,,
261,5520,Andorra,2020-03-01,0,163.8425532,0.858,,
262,7659,Andorra,2020-03-02,1,163.8425532,0.858,,
263,7651,Andorra,2020-03-03,1,163.8425532,0.858,,
264,7652,Andorra,2020-03-04,1,163.8425532,0.858,,
265,7653,Andorra,2020-03-05,1,163.8425532,0.858,,
266,7654,Andorra,2020-03-06,1,163.8425532,0.858,,
267,7655,Andorra,2020-03-07,1,163.8425532,0.858,,
268,7656,Andorra,2020-03-08,1,163.8425532,0.858,,
269,7657,Andorra,2020-03-09,1,163.8425532,0.858,,
270,7658,Andorra,2020-03-10,1,163.8425532,0.858,,
271,7640,Andorra,2020-03-11,1,163.8425532,0.858,,
272,7649,Andorra,2020-03-12,1,163.8425532,0.858,,
273,7639,Andorra,2020-03-13,1,163.8425532,0.858,,
274,7627,Andorra,2020-03-14,1,163.8425532,0.858,,
275,7619,Andorra,2020-03-15,1,163.8425532,0.858,,
276,8305,Andorra,2020-03-16,2,163.8425532,0.858,,
277,10534,Andorra,2020-03-17,39,163.8425532,0.858,,
278,10526,Andorra,2020-03-18,39,163.8425532,0.858,,
279,10755,Andorra,2020-03-19,53,163.8425532,0.858,,
280,10962,Andorra,2020-03-20,75,163.8425532,0.858,,
281,11073,Andorra,2020-03-21,88,163.8425532,0.858,,
282,11256,Andorra,2020-03-22,113,163.8425532,0.858,,
283,11358,Andorra,2020-03-23,133,163.8425532,0.858,,
284,11498,Andorra,2020-03-24,164,163.8425532,0.858,,
285,11572,Andorra,2020-03-25,188,163.8425532,0.858,,
286,11701,Andorra,2020-03-26,224,163.8425532,0.858,,
287,11818,Andorra,2020-03-27,267,163.8425532,0.858,,
288,11894,Andorra,2020-03-28,308,163.8425532,0.858,,
289,11945,Andorra,2020-03-29,334,163.8425532,0.858,,
290,11998,Andorra,2020-03-30,370,163.8425532,0.858,,
291,12002,Andorra,2020-03-31,376,163.8425532,0.858,,
292,12023,Andorra,2020-04-01,390,163.8425532,0.858,,
293,12075,Andorra,2020-04-02,428,163.8425532,0.858,,
294,12086,Andorra,2020-04-03,439,163.8425532,0.858,,
295,12126,Andorra,2020-04-04,466,163.8425532,0.858,,
296,5564,Angola,2020-01-22,0,24.71305206,0.581,,
297,5563,Angola,2020-01-23,0,24.71305206,0.581,,
298,5562,Angola,2020-01-24,0,24.71305206,0.581,,
299,5561,Angola,2020-01-25,0,24.71305206,0.581,,
300,5560,Angola,2020-01-26,0,24.71305206,0.581,,
301,5573,Angola,2020-01-27,0,24.71305206,0.581,,
302,5559,Angola,2020-01-28,0,24.71305206,0.581,,
303,5557,Angola,2020-01-29,0,24.71305206,0.581,,
304,5556,Angola,2020-01-30,0,24.71305206,0.581,,
305,5555,Angola,2020-01-31,0,24.71305206,0.581,,
306,5554,Angola,2020-02-01,0,24.71305206,0.581,,
307,5553,Angola,2020-02-02,0,24.71305206,0.581,,
308,5552,Angola,2020-02-03,0,24.71305206,0.581,,
309,5551,Angola,2020-02-04,0,24.71305206,0.581,,
310,5550,Angola,2020-02-05,0,24.71305206,0.581,,
311,5549,Angola,2020-02-06,0,24.71305206,0.581,,
312,5548,Angola,2020-02-07,0,24.71305206,0.581,,
313,5547,Angola,2020-02-08,0,24.71305206,0.581,,
314,5546,Angola,2020-02-09,0,24.71305206,0.581,,
315,5545,Angola,2020-02-10,0,24.71305206,0.581,,
316,5385,Angola,2020-02-11,0,24.71305206,0.581,,
317,5574,Angola,2020-02-12,0,24.71305206,0.581,,
318,5384,Angola,2020-02-13,0,24.71305206,0.581,,
319,5319,Angola,2020-02-14,0,24.71305206,0.581,,
320,5221,Angola,2020-02-15,0,24.71305206,0.581,,
321,5220,Angola,2020-02-16,0,24.71305206,0.581,,
322,5219,Angola,2020-02-17,0,24.71305206,0.581,,
323,5218,Angola,2020-02-18,0,24.71305206,0.581,,
324,5217,Angola,2020-02-19,0,24.71305206,0.581,,
325,5216,Angola,2020-02-20,0,24.71305206,0.581,,
326,5215,Angola,2020-02-21,0,24.71305206,0.581,,
327,5214,Angola,2020-02-22,0,24.71305206,0.581,,
328,5213,Angola,2020-02-23,0,24.71305206,0.581,,
329,5212,Angola,2020-02-24,0,24.71305206,0.581,,
330,5211,Angola,2020-02-25,0,24.71305206,0.581,,
331,5210,Angola,2020-02-26,0,24.71305206,0.581,,
332,5209,Angola,2020-02-27,0,24.71305206,0.581,,
333,5222,Angola,2020-02-28,0,24.71305206,0.581,,
334,5208,Angola,2020-02-29,0,24.71305206,0.581,,
335,5206,Angola,2020-03-01,0,24.71305206,0.581,,
336,5205,Angola,2020-03-02,0,24.71305206,0.581,,
337,5204,Angola,2020-03-03,0,24.71305206,0.581,,
338,5203,Angola,2020-03-04,0,24.71305206,0.581,,
339,5202,Angola,2020-03-05,0,24.71305206,0.581,,
340,5201,Angola,2020-03-06,0,24.71305206,0.581,,
341,5200,Angola,2020-03-07,0,24.71305206,0.581,,
342,5199,Angola,2020-03-08,0,24.71305206,0.581,,
343,5198,Angola,2020-03-09,0,24.71305206,0.581,,
344,5197,Angola,2020-03-10,0,24.71305206,0.581,,
345,5196,Angola,2020-03-11,0,24.71305206,0.581,,
346,5195,Angola,2020-03-12,0,24.71305206,0.581,,
347,5194,Angola,2020-03-13,0,24.71305206,0.581,,
348,5207,Angola,2020-03-14,0,24.71305206,0.581,,
349,5224,Angola,2020-03-15,0,24.71305206,0.581,,
350,5239,Angola,2020-03-16,0,24.71305206,0.581,,
351,5225,Angola,2020-03-17,0,24.71305206,0.581,,
352,5253,Angola,2020-03-18,0,24.71305206,0.581,,
353,5252,Angola,2020-03-19,0,24.71305206,0.581,,
354,7694,Angola,2020-03-20,1,24.71305206,0.581,,
355,8271,Angola,2020-03-21,2,24.71305206,0.581,,
356,8272,Angola,2020-03-22,2,24.71305206,0.581,,
357,8471,Angola,2020-03-23,3,24.71305206,0.581,,
358,8472,Angola,2020-03-24,3,24.71305206,0.581,,
359,8473,Angola,2020-03-25,3,24.71305206,0.581,,
360,8802,Angola,2020-03-26,4,24.71305206,0.581,,
361,8801,Angola,2020-03-27,4,24.71305206,0.581,,
362,8910,Angola,2020-03-28,5,24.71305206,0.581,,
363,9237,Angola,2020-03-29,7,24.71305206,0.581,,
364,9252,Angola,2020-03-30,7,24.71305206,0.581,,
365,9239,Angola,2020-03-31,7,24.71305206,0.581,,
366,9311,Angola,2020-04-01,8,24.71305206,0.581,,
367,9312,Angola,2020-04-02,8,24.71305206,0.581,,
368,9340,Angola,2020-04-03,8,24.71305206,0.581,,
369,9535,Angola,2020-04-04,10,24.71305206,0.581,,
370,5250,Antigua and Barbuda,2020-01-22,0,218.8318182,0.78,,
371,5249,Antigua and Barbuda,2020-01-23,0,218.8318182,0.78,,
372,5248,Antigua and Barbuda,2020-01-24,0,218.8318182,0.78,,
373,5247,Antigua and Barbuda,2020-01-25,0,218.8318182,0.78,,
374,5246,Antigua and Barbuda,2020-01-26,0,218.8318182,0.78,,
375,5245,Antigua and Barbuda,2020-01-27,0,218.8318182,0.78,,
376,5244,Antigua and Barbuda,2020-01-28,0,218.8318182,0.78,,
377,5243,Antigua and Barbuda,2020-01-29,0,218.8318182,0.78,,
378,5242,Antigua and Barbuda,2020-01-30,0,218.8318182,0.78,,
379,5241,Antigua and Barbuda,2020-01-31,0,218.8318182,0.78,,
380,5254,Antigua and Barbuda,2020-02-01,0,218.8318182,0.78,,
381,5240,Antigua and Barbuda,2020-02-02,0,218.8318182,0.78,,
382,5238,Antigua and Barbuda,2020-02-03,0,218.8318182,0.78,,
383,5237,Antigua and Barbuda,2020-02-04,0,218.8318182,0.78,,
384,5236,Antigua and Barbuda,2020-02-05,0,218.8318182,0.78,,
385,5235,Antigua and Barbuda,2020-02-06,0,218.8318182,0.78,,
386,5234,Antigua and Barbuda,2020-02-07,0,218.8318182,0.78,,
387,5233,Antigua and Barbuda,2020-02-08,0,218.8318182,0.78,,
388,5232,Antigua and Barbuda,2020-02-09,0,218.8318182,0.78,,
389,5231,Antigua and Barbuda,2020-02-10,0,218.8318182,0.78,,
390,5230,Antigua and Barbuda,2020-02-11,0,218.8318182,0.78,,
391,5229,Antigua and Barbuda,2020-02-12,0,218.8318182,0.78,,
392,5228,Antigua and Barbuda,2020-02-13,0,218.8318182,0.78,,
393,5227,Antigua and Barbuda,2020-02-14,0,218.8318182,0.78,,
394,5226,Antigua and Barbuda,2020-02-15,0,218.8318182,0.78,,
395,5193,Antigua and Barbuda,2020-02-16,0,218.8318182,0.78,,
396,5192,Antigua and Barbuda,2020-02-17,0,218.8318182,0.78,,
397,5191,Antigua and Barbuda,2020-02-18,0,218.8318182,0.78,,
398,5175,Antigua and Barbuda,2020-02-19,0,218.8318182,0.78,,
399,5157,Antigua and Barbuda,2020-02-20,0,218.8318182,0.78,,
400,5156,Antigua and Barbuda,2020-02-21,0,218.8318182,0.78,,
401,5155,Antigua and Barbuda,2020-02-22,0,218.8318182,0.78,,
402,5154,Antigua and Barbuda,2020-02-23,0,218.8318182,0.78,,
403,5153,Antigua and Barbuda,2020-02-24,0,218.8318182,0.78,,
404,5152,Antigua and Barbuda,2020-02-25,0,218.8318182,0.78,,
405,5151,Antigua and Barbuda,2020-02-26,0,218.8318182,0.78,,
406,5150,Antigua and Barbuda,2020-02-27,0,218.8318182,0.78,,
407,5149,Antigua and Barbuda,2020-02-28,0,218.8318182,0.78,,
408,5148,Antigua and Barbuda,2020-02-29,0,218.8318182,0.78,,
409,5147,Antigua and Barbuda,2020-03-01,0,218.8318182,0.78,,
410,5146,Antigua and Barbuda,2020-03-02,0,218.8318182,0.78,,
411,5145,Antigua and Barbuda,2020-03-03,0,218.8318182,0.78,,
412,5144,Antigua and Barbuda,2020-03-04,0,218.8318182,0.78,,
413,5143,Antigua and Barbuda,2020-03-05,0,218.8318182,0.78,,
414,5142,Antigua and Barbuda,2020-03-06,0,218.8318182,0.78,,
415,5141,Antigua and Barbuda,2020-03-07,0,218.8318182,0.78,,
416,5140,Antigua and Barbuda,2020-03-08,0,218.8318182,0.78,,
417,5139,Antigua and Barbuda,2020-03-09,0,218.8318182,0.78,,
418,5138,Antigua and Barbuda,2020-03-10,0,218.8318182,0.78,,
419,5137,Antigua and Barbuda,2020-03-11,0,218.8318182,0.78,,
420,5136,Antigua and Barbuda,2020-03-12,0,218.8318182,0.78,,
421,7668,Antigua and Barbuda,2020-03-13,1,218.8318182,0.78,,
422,7669,Antigua and Barbuda,2020-03-14,1,218.8318182,0.78,,
423,7670,Antigua and Barbuda,2020-03-15,1,218.8318182,0.78,,
424,7672,Antigua and Barbuda,2020-03-16,1,218.8318182,0.78,,
425,7681,Antigua and Barbuda,2020-03-17,1,218.8318182,0.78,,
426,7673,Antigua and Barbuda,2020-03-18,1,218.8318182,0.78,,
427,7674,Antigua and Barbuda,2020-03-19,1,218.8318182,0.78,,
428,7675,Antigua and Barbuda,2020-03-20,1,218.8318182,0.78,,
429,7676,Antigua and Barbuda,2020-03-21,1,218.8318182,0.78,,
430,7677,Antigua and Barbuda,2020-03-22,1,218.8318182,0.78,,
431,8541,Antigua and Barbuda,2020-03-23,3,218.8318182,0.78,,
432,8529,Antigua and Barbuda,2020-03-24,3,218.8318182,0.78,,
433,8510,Antigua and Barbuda,2020-03-25,3,218.8318182,0.78,,
434,9200,Antigua and Barbuda,2020-03-26,7,218.8318182,0.78,,
